ID,Resume Text,Job Role,ATS Score
46,"Creative director leading brand strategy, visual storytelling, and marketing campaigns. Worked on multiple creative director solutions and optimizations.",Creative Director,68
46,"Creative director leading brand strategy, visual storytelling, and marketing campaigns. Experience in creative director projects and innovations.",Creative Director,68
46,"Creative director leading brand strategy, visual storytelling, and marketing campaigns. Specialized in creative director technologies and strategies.",Creative Director,68
46,"Creative director leading brand strategy, visual storytelling, and marketing campaigns. Worked on multiple creative director solutions and optimizations.",Creative Director,68
47,Digital transformation consultant helping businesses optimize processes using AI and automation. Experience in digital transformation consultant projects and innovations.,Digital Transformation Consultant,94
47,Digital transformation consultant helping businesses optimize processes using AI and automation. Specialized in digital transformation consultant technologies and strategies.,Digital Transformation Consultant,94
47,Digital transformation consultant helping businesses optimize processes using AI and automation. Passionate about digital transformation consultant advancements.,Digital Transformation Consultant,94
47,Digital transformation consultant helping businesses optimize processes using AI and automation. Experience in digital transformation consultant projects and innovations.,Digital Transformation Consultant,94
47,Digital transformation consultant helping businesses optimize processes using AI and automation. Specialized in digital transformation consultant technologies and strategies.,Digital Transformation Consultant,94
48,Risk management specialist with experience in regulatory compliance and fraud prevention. Worked on multiple risk management specialist solutions and optimizations.,Risk Management Specialist,89
48,Risk management specialist with experience in regulatory compliance and fraud prevention. Experience in risk management specialist projects and innovations.,Risk Management Specialist,89
48,Risk management specialist with experience in regulatory compliance and fraud prevention. Worked on multiple risk management specialist solutions and optimizations.,Risk Management Specialist,89
48,Risk management specialist with experience in regulatory compliance and fraud prevention. Passionate about risk management specialist advancements.,Risk Management Specialist,89
48,Risk management specialist with experience in regulatory compliance and fraud prevention. Strong background in risk management specialist industry trends.,Risk Management Specialist,89
49,"Supply chain analyst skilled in logistics optimization, demand forecasting, and inventory management. Strong background in supply chain analyst industry trends.",Supply Chain Analyst,94
49,"Supply chain analyst skilled in logistics optimization, demand forecasting, and inventory management. Worked on multiple supply chain analyst solutions and optimizations.",Supply Chain Analyst,94
49,"Supply chain analyst skilled in logistics optimization, demand forecasting, and inventory management. Experience in supply chain analyst projects and innovations.",Supply Chain Analyst,94
49,"Supply chain analyst skilled in logistics optimization, demand forecasting, and inventory management. Experience in supply chain analyst projects and innovations.",Supply Chain Analyst,94
49,"Supply chain analyst skilled in logistics optimization, demand forecasting, and inventory management. Experience in supply chain analyst projects and innovations.",Supply Chain Analyst,94
50,Software architect experienced in designing scalable applications and cloud solutions. Strong background in software architect industry trends.,Software Architect,73
50,Software architect experienced in designing scalable applications and cloud solutions. Experience in software architect projects and innovations.,Software Architect,73
50,Software architect experienced in designing scalable applications and cloud solutions. Experience in software architect projects and innovations.,Software Architect,73
50,Software architect experienced in designing scalable applications and cloud solutions. Strong background in software architect industry trends.,Software Architect,73
50,Software architect experienced in designing scalable applications and cloud solutions. Passionate about software architect advancements.,Software Architect,73
